Country,ISO_code,Region,Capital_City,Area_km2,Population,Currency
Faroe Islands,FRO,"Europe & Central Asia","Tórshavn","1393",48863,"Danish krone"
Micronesia Fed. Sts.,FSM,"East Asia & Pacific","Palikir","702",115023,"US dollar"
Gabon,GAB,"Sub-Saharan Africa","Libreville","267668",2172579,"Central African CFA franc"
United Kingdom,GBR,"Europe & Central Asia","London","243610",67886004,"Pound sterling"
Georgia,GEO,"Europe & Central Asia","Tbilisi","69700",3989167,"Georgian lari"
Ghana,GHA,"Sub-Saharan Africa","Accra","238533",31072945,"Ghanaian cedi"
Gibraltar,GIB,"Europe & Central Asia","Gibraltar","6",33691,"Gibraltar pound"
Guinea,GIN,"Sub-Saharan Africa","Conakry","245857",13132795,"Guinean franc"
Gambia The,GMB,"Sub-Saharan Africa","Banjul","10689",2416667,"Gambian dalasi"
Guinea-Bissau,GNB,"Sub-Saharan Africa","Bissau","36125",1967998,"West African CFA franc"
Equatorial Guinea,GNQ,"Sub-Saharan Africa","Malabo","28051",1402985,"Central African CFA franc"
Greece,GRC,"Europe & Central Asia","Athens","131957",10715549,"Euro"
Grenada,GRD,"Latin America & Caribbean","St. George's","344",112523,"East Caribbean dollar"
Greenland,GRL,"Europe & Central Asia","Nuuk","2166086",56770,"Danish krone"
Guatemala,GTM,"Latin America & Caribbean","Guatemala City","108889",17915568,"Guatemalan quetzal"
Guam,GUM,"East Asia & Pacific",,"549",168485,"US dollar"
Guyana,GUY,"Latin America & Caribbean","Georgetown","214969",786559,"Guyanese dollar"
High income,,"World",,,,
Hong Kong SAR China,HKG,"East Asia & Pacific","Victoria","1106",7496982,"Hong Kong dollar"
Honduras,HND,"Latin America & Caribbean","Tegucigalpa","112492",9904608,"Honduran lempira"
Heavily indebted poor countries (HIPC),,"World",,,,
Croatia,HRV,"Europe & Central Asia","Zagreb","56594",4089400,"Croatian kuna"
Haiti,HTI,"Latin America & Caribbean","Port-au-Prince","27750",11263077,"Haitian gourde"
Hungary,HUN,"Europe & Central Asia","Budapest","93030",9660350,"Hungarian forint"
IBRD only,,"World",,,,
IDA & IBRD total,,"World",,,,
IDA total,,"World",,,,
IDA blend,,"World",,,,
Indonesia,IDN,"East Asia & Pacific","Jakarta","1910931",273523615,"Indonesian rupiah"
IDA only,,"World",,,,
Isle of Man,IMN,"Europe & Central Asia","Douglas","572",85032,"Manx pound"
India,IND,"South Asia","New Delhi","3287263",1380004385,"Indian rupee"
Not classified,,"World",,,,
Ireland,IRL,"Europe & Central Asia","Dublin","70273",4937796,"Euro"
Iran Islamic Rep.,IRN,"Middle East & North Africa","Tehran","1648195",83992949,"Iranian rial"
